mean=0.886, std=0.023, quantiles=(0.830, 0.868, 0.885, 0.905, 0.938)
mean=0.886, std=0.023, quantiles=(0.830, 0.868, 0.885, 0.905, 0.939)
mean=0.886, std=0.023, quantiles=(0.830, 0.868, 0.885, 0.905, 0.940)
mean=0.886, std=0.024, quantiles=(0.825, 0.868, 0.885, 0.905, 0.940)
mean=0.886, std=0.024, quantiles=(0.825, 0.868, 0.884, 0.904, 0.940)
mean=0.885, std=0.024, quantiles=(0.824, 0.867, 0.884, 0.904, 0.940)
mean=0.885, std=0.024, quantiles=(0.824, 0.867, 0.883, 0.904, 0.941)
mean=0.885, std=0.024, quantiles=(0.824, 0.867, 0.883, 0.903, 0.941)
mean=0.885, std=0.024, quantiles=(0.824, 0.867, 0.882, 0.903, 0.941)
mean=0.884, std=0.024, quantiles=(0.824, 0.866, 0.882, 0.903, 0.941)
mean=0.885, std=0.024, quantiles=(0.824, 0.867, 0.882, 0.904, 0.941)
mean=0.884, std=0.024, quantiles=(0.824, 0.866, 0.881, 0.903, 0.940)
mean=0.884, std=0.024, quantiles=(0.824, 0.866, 0.881, 0.903, 0.940)
mean=0.884, std=0.024, quantiles=(0.826, 0.866, 0.881, 0.903, 0.940)
mean=0.884, std=0.024, quantiles=(0.826, 0.865, 0.881, 0.903, 0.940)
mean=0.883, std=0.024, quantiles=(0.826, 0.865, 0.880, 0.902, 0.940)
mean=0.883, std=0.024, quantiles=(0.826, 0.865, 0.880, 0.902, 0.940)
mean=0.883, std=0.023, quantiles=(0.826, 0.865, 0.880, 0.901, 0.940)
mean=0.883, std=0.024, quantiles=(0.826, 0.865, 0.880, 0.901, 0.940)
mean=0.882, std=0.024, quantiles=(0.826, 0.865, 0.879, 0.901, 0.940)
mean=0.882, std=0.024, quantiles=(0.826, 0.865, 0.879, 0.900, 0.940)
mean=0.882, std=0.024, quantiles=(0.826, 0.864, 0.879, 0.900, 0.940)
mean=0.882, std=0.024, quantiles=(0.826, 0.864, 0.879, 0.900, 0.940)
mean=0.882, std=0.023, quantiles=(0.826, 0.864, 0.879, 0.899, 0.940)
mean=0.882, std=0.024, quantiles=(0.826, 0.864, 0.878, 0.899, 0.940)
mean=0.882, std=0.023, quantiles=(0.826, 0.864, 0.878, 0.899, 0.940)
mean=0.881, std=0.024, quantiles=(0.826, 0.863, 0.878, 0.899, 0.940)
mean=0.881, std=0.024, quantiles=(0.824, 0.863, 0.878, 0.899, 0.940)
mean=0.881, std=0.024, quantiles=(0.824, 0.862, 0.877, 0.899, 0.940)
mean=0.881, std=0.024, quantiles=(0.824, 0.863, 0.877, 0.899, 0.940)
mean=0.881, std=0.024, quantiles=(0.824, 0.862, 0.877, 0.898, 0.940)
mean=0.880, std=0.024, quantiles=(0.824, 0.862, 0.877, 0.898, 0.940)
mean=0.880, std=0.024, quantiles=(0.824, 0.862, 0.877, 0.898, 0.940)
mean=0.880, std=0.024, quantiles=(0.824, 0.862, 0.877, 0.898, 0.940)
mean=0.880, std=0.024, quantiles=(0.824, 0.862, 0.877, 0.898, 0.940)
mean=0.880, std=0.024, quantiles=(0.824, 0.861, 0.877, 0.898, 0.940)
mean=0.880, std=0.024, quantiles=(0.824, 0.861, 0.877, 0.898, 0.940)
mean=0.879, std=0.024, quantiles=(0.824, 0.861, 0.876, 0.897, 0.940)
mean=0.879, std=0.024, quantiles=(0.824, 0.861, 0.876, 0.897, 0.940)
mean=0.879, std=0.024, quantiles=(0.824, 0.861, 0.876, 0.897, 0.940)
mean=0.879, std=0.024, quantiles=(0.824, 0.861, 0.876, 0.897, 0.940)
mean=0.879, std=0.024, quantiles=(0.824, 0.861, 0.876, 0.897, 0.940)
mean=0.879, std=0.024, quantiles=(0.824, 0.861, 0.876, 0.896, 0.940)
mean=0.879, std=0.024, quantiles=(0.824, 0.861, 0.877, 0.896, 0.940)
mean=0.879, std=0.024, quantiles=(0.824, 0.861, 0.877, 0.896, 0.940)
mean=0.879, std=0.024, quantiles=(0.824, 0.861, 0.877, 0.896, 0.938)
mean=0.878, std=0.024, quantiles=(0.824, 0.861, 0.876, 0.896, 0.937)
mean=0.878, std=0.024, quantiles=(0.824, 0.861, 0.876, 0.895, 0.937)
mean=0.878, std=0.023, quantiles=(0.824, 0.861, 0.876, 0.895, 0.937)
mean=0.878, std=0.024, quantiles=(0.824, 0.860, 0.876, 0.895, 0.937)
mean=0.878, std=0.024, quantiles=(0.824, 0.860, 0.876, 0.895, 0.937)
mean=0.878, std=0.024, quantiles=(0.824, 0.860, 0.876, 0.895, 0.937)
mean=0.878, std=0.024, quantiles=(0.824, 0.860, 0.876, 0.895, 0.938)
mean=0.877, std=0.024, quantiles=(0.824, 0.860, 0.876, 0.895, 0.938)
mean=0.877, std=0.024, quantiles=(0.824, 0.860, 0.876, 0.895, 0.938)
mean=0.877, std=0.023, quantiles=(0.824, 0.859, 0.875, 0.894, 0.936)
mean=0.877, std=0.023, quantiles=(0.824, 0.859, 0.875, 0.894, 0.936)
mean=0.877, std=0.023, quantiles=(0.824, 0.859, 0.875, 0.894, 0.936)
mean=0.877, std=0.023, quantiles=(0.824, 0.859, 0.875, 0.894, 0.936)
mean=0.877, std=0.023, quantiles=(0.824, 0.859, 0.875, 0.894, 0.936)
mean=0.877, std=0.023, quantiles=(0.824, 0.859, 0.875, 0.894, 0.935)
mean=0.877, std=0.023, quantiles=(0.824, 0.859, 0.875, 0.894, 0.935)
mean=0.877, std=0.023, quantiles=(0.824, 0.859, 0.874, 0.894, 0.935)
mean=0.877, std=0.023, quantiles=(0.824, 0.859, 0.874, 0.894, 0.935)
mean=0.876, std=0.023, quantiles=(0.824, 0.859, 0.874, 0.894, 0.935)
mean=0.876, std=0.024, quantiles=(0.822, 0.859, 0.874, 0.894, 0.935)
mean=0.876, std=0.024, quantiles=(0.822, 0.859, 0.874, 0.894, 0.935)
mean=0.876, std=0.024, quantiles=(0.822, 0.859, 0.874, 0.893, 0.935)
mean=0.876, std=0.023, quantiles=(0.822, 0.859, 0.874, 0.893, 0.934)
mean=0.876, std=0.023, quantiles=(0.822, 0.859, 0.874, 0.893, 0.934)
mean=0.876, std=0.023, quantiles=(0.822, 0.858, 0.874, 0.893, 0.934)
mean=0.876, std=0.024, quantiles=(0.822, 0.858, 0.874, 0.893, 0.934)
mean=0.875, std=0.023, quantiles=(0.822, 0.858, 0.873, 0.892, 0.934)
mean=0.875, std=0.023, quantiles=(0.822, 0.858, 0.873, 0.892, 0.934)
mean=0.875, std=0.023, quantiles=(0.822, 0.858, 0.873, 0.892, 0.932)
mean=0.875, std=0.023, quantiles=(0.822, 0.858, 0.873, 0.892, 0.932)
mean=0.875, std=0.023, quantiles=(0.822, 0.858, 0.873, 0.892, 0.932)
mean=0.875, std=0.023, quantiles=(0.822, 0.858, 0.873, 0.891, 0.932)
mean=0.875, std=0.023, quantiles=(0.822, 0.858, 0.873, 0.891, 0.932)
mean=0.875, std=0.023, quantiles=(0.822, 0.858, 0.873, 0.891, 0.932)
mean=0.875, std=0.023, quantiles=(0.821, 0.858, 0.873, 0.891, 0.932)
mean=0.875, std=0.023, quantiles=(0.822, 0.858, 0.873, 0.891, 0.932)
mean=0.875, std=0.023, quantiles=(0.822, 0.858, 0.873, 0.891, 0.932)
mean=0.875, std=0.023, quantiles=(0.820, 0.858, 0.873, 0.891, 0.932)
mean=0.874, std=0.023, quantiles=(0.820, 0.857, 0.873, 0.891, 0.932)
mean=0.874, std=0.023, quantiles=(0.820, 0.857, 0.872, 0.891, 0.932)
mean=0.874, std=0.023, quantiles=(0.820, 0.857, 0.872, 0.890, 0.932)
mean=0.874, std=0.023, quantiles=(0.820, 0.857, 0.872, 0.890, 0.932)
mean=0.874, std=0.023, quantiles=(0.820, 0.857, 0.872, 0.890, 0.932)
mean=0.874, std=0.023, quantiles=(0.820, 0.857, 0.872, 0.890, 0.932)
mean=0.874, std=0.023, quantiles=(0.821, 0.858, 0.872, 0.890, 0.932)
