mean=0.925, std=0.020, quantiles=(0.817, 0.924, 0.931, 0.936, 0.941)
mean=0.924, std=0.020, quantiles=(0.817, 0.924, 0.931, 0.936, 0.940)
mean=0.924, std=0.020, quantiles=(0.828, 0.924, 0.931, 0.936, 0.940)
mean=0.924, std=0.019, quantiles=(0.827, 0.923, 0.930, 0.935, 0.940)
mean=0.926, std=0.018, quantiles=(0.827, 0.925, 0.932, 0.937, 0.941)
mean=0.926, std=0.018, quantiles=(0.824, 0.925, 0.932, 0.936, 0.941)
mean=0.926, std=0.018, quantiles=(0.824, 0.925, 0.932, 0.936, 0.941)
mean=0.925, std=0.018, quantiles=(0.824, 0.924, 0.931, 0.936, 0.940)
mean=0.925, std=0.018, quantiles=(0.824, 0.924, 0.931, 0.936, 0.940)
mean=0.926, std=0.018, quantiles=(0.824, 0.925, 0.932, 0.936, 0.941)
mean=0.926, std=0.018, quantiles=(0.824, 0.925, 0.932, 0.936, 0.941)
mean=0.926, std=0.018, quantiles=(0.824, 0.924, 0.932, 0.936, 0.940)
mean=0.925, std=0.018, quantiles=(0.824, 0.924, 0.932, 0.936, 0.940)
mean=0.925, std=0.018, quantiles=(0.828, 0.924, 0.932, 0.936, 0.940)
mean=0.925, std=0.018, quantiles=(0.826, 0.924, 0.932, 0.936, 0.940)
mean=0.925, std=0.018, quantiles=(0.820, 0.923, 0.931, 0.936, 0.940)
mean=0.925, std=0.019, quantiles=(0.819, 0.923, 0.931, 0.935, 0.940)
mean=0.925, std=0.019, quantiles=(0.819, 0.923, 0.931, 0.935, 0.940)
mean=0.936, std=0.011, quantiles=(0.846, 0.933, 0.940, 0.942, 0.945)
mean=0.935, std=0.011, quantiles=(0.830, 0.933, 0.939, 0.942, 0.945)
mean=0.935, std=0.011, quantiles=(0.853, 0.933, 0.939, 0.941, 0.945)
mean=0.934, std=0.012, quantiles=(0.855, 0.932, 0.938, 0.940, 0.944)
mean=0.932, std=0.013, quantiles=(0.830, 0.932, 0.937, 0.939, 0.943)
mean=0.932, std=0.013, quantiles=(0.823, 0.932, 0.936, 0.939, 0.943)
mean=0.932, std=0.013, quantiles=(0.818, 0.931, 0.936, 0.939, 0.943)
mean=0.932, std=0.013, quantiles=(0.823, 0.931, 0.936, 0.938, 0.943)
mean=0.932, std=0.013, quantiles=(0.826, 0.931, 0.936, 0.938, 0.943)
mean=0.931, std=0.013, quantiles=(0.830, 0.931, 0.935, 0.938, 0.943)
mean=0.931, std=0.013, quantiles=(0.828, 0.931, 0.935, 0.938, 0.943)
mean=0.930, std=0.013, quantiles=(0.825, 0.930, 0.934, 0.937, 0.942)
mean=0.929, std=0.014, quantiles=(0.824, 0.929, 0.934, 0.936, 0.942)
mean=0.928, std=0.014, quantiles=(0.823, 0.929, 0.933, 0.935, 0.941)
mean=0.928, std=0.014, quantiles=(0.822, 0.928, 0.932, 0.935, 0.941)
mean=0.927, std=0.014, quantiles=(0.822, 0.927, 0.932, 0.934, 0.940)
mean=0.927, std=0.014, quantiles=(0.822, 0.927, 0.931, 0.934, 0.940)
mean=0.924, std=0.017, quantiles=(0.818, 0.924, 0.929, 0.932, 0.939)
mean=0.923, std=0.017, quantiles=(0.817, 0.924, 0.928, 0.931, 0.939)
mean=0.923, std=0.017, quantiles=(0.817, 0.923, 0.928, 0.931, 0.940)
mean=0.923, std=0.017, quantiles=(0.817, 0.923, 0.928, 0.931, 0.940)
mean=0.923, std=0.017, quantiles=(0.815, 0.923, 0.928, 0.931, 0.940)
mean=0.923, std=0.017, quantiles=(0.817, 0.923, 0.928, 0.931, 0.940)
mean=0.922, std=0.017, quantiles=(0.816, 0.922, 0.927, 0.931, 0.940)
mean=0.922, std=0.018, quantiles=(0.816, 0.922, 0.927, 0.930, 0.939)
mean=0.921, std=0.018, quantiles=(0.816, 0.922, 0.927, 0.930, 0.939)
mean=0.921, std=0.018, quantiles=(0.815, 0.922, 0.926, 0.930, 0.939)
mean=0.921, std=0.018, quantiles=(0.814, 0.922, 0.926, 0.930, 0.939)
mean=0.921, std=0.018, quantiles=(0.812, 0.922, 0.926, 0.930, 0.939)
mean=0.921, std=0.017, quantiles=(0.814, 0.922, 0.926, 0.930, 0.939)
mean=0.921, std=0.017, quantiles=(0.816, 0.922, 0.926, 0.930, 0.939)
mean=0.921, std=0.017, quantiles=(0.816, 0.922, 0.926, 0.930, 0.939)
mean=0.921, std=0.017, quantiles=(0.816, 0.921, 0.926, 0.930, 0.939)
mean=0.921, std=0.017, quantiles=(0.816, 0.921, 0.926, 0.930, 0.939)
mean=0.920, std=0.018, quantiles=(0.812, 0.920, 0.925, 0.929, 0.938)
mean=0.919, std=0.018, quantiles=(0.812, 0.919, 0.924, 0.928, 0.937)
mean=0.919, std=0.018, quantiles=(0.812, 0.918, 0.924, 0.928, 0.937)
mean=0.919, std=0.018, quantiles=(0.812, 0.918, 0.924, 0.928, 0.937)
mean=0.917, std=0.019, quantiles=(0.812, 0.917, 0.923, 0.927, 0.937)
mean=0.917, std=0.019, quantiles=(0.812, 0.917, 0.923, 0.927, 0.937)
mean=0.918, std=0.019, quantiles=(0.811, 0.917, 0.923, 0.927, 0.937)
mean=0.917, std=0.019, quantiles=(0.811, 0.917, 0.923, 0.926, 0.937)
mean=0.917, std=0.019, quantiles=(0.811, 0.917, 0.922, 0.926, 0.937)
mean=0.916, std=0.019, quantiles=(0.811, 0.916, 0.922, 0.926, 0.936)
mean=0.916, std=0.019, quantiles=(0.811, 0.916, 0.922, 0.926, 0.936)
mean=0.916, std=0.019, quantiles=(0.811, 0.916, 0.922, 0.926, 0.936)
mean=0.916, std=0.019, quantiles=(0.811, 0.915, 0.921, 0.926, 0.936)
mean=0.916, std=0.019, quantiles=(0.811, 0.915, 0.921, 0.925, 0.936)
mean=0.916, std=0.020, quantiles=(0.811, 0.915, 0.921, 0.925, 0.936)
mean=0.916, std=0.020, quantiles=(0.811, 0.915, 0.921, 0.925, 0.936)
mean=0.916, std=0.019, quantiles=(0.811, 0.915, 0.921, 0.925, 0.936)
mean=0.916, std=0.019, quantiles=(0.811, 0.915, 0.921, 0.925, 0.936)
mean=0.916, std=0.019, quantiles=(0.810, 0.914, 0.921, 0.925, 0.936)
mean=0.916, std=0.019, quantiles=(0.810, 0.914, 0.921, 0.925, 0.936)
mean=0.916, std=0.019, quantiles=(0.810, 0.914, 0.921, 0.925, 0.936)
mean=0.916, std=0.019, quantiles=(0.810, 0.914, 0.921, 0.925, 0.936)
mean=0.916, std=0.019, quantiles=(0.810, 0.914, 0.921, 0.925, 0.936)
mean=0.916, std=0.019, quantiles=(0.810, 0.914, 0.921, 0.925, 0.936)
mean=0.916, std=0.019, quantiles=(0.811, 0.914, 0.921, 0.925, 0.936)
mean=0.916, std=0.018, quantiles=(0.811, 0.914, 0.921, 0.925, 0.936)
mean=0.916, std=0.018, quantiles=(0.811, 0.914, 0.921, 0.925, 0.936)
mean=0.916, std=0.018, quantiles=(0.811, 0.914, 0.920, 0.925, 0.936)
mean=0.915, std=0.019, quantiles=(0.811, 0.914, 0.920, 0.925, 0.935)
mean=0.915, std=0.018, quantiles=(0.811, 0.914, 0.920, 0.925, 0.935)
mean=0.915, std=0.018, quantiles=(0.811, 0.914, 0.920, 0.925, 0.935)
mean=0.915, std=0.018, quantiles=(0.811, 0.914, 0.920, 0.925, 0.935)
mean=0.915, std=0.018, quantiles=(0.811, 0.914, 0.920, 0.924, 0.935)
mean=0.917, std=0.018, quantiles=(0.811, 0.915, 0.921, 0.925, 0.936)
mean=0.917, std=0.018, quantiles=(0.811, 0.916, 0.922, 0.926, 0.936)
mean=0.917, std=0.018, quantiles=(0.810, 0.916, 0.922, 0.926, 0.936)
mean=0.917, std=0.018, quantiles=(0.811, 0.916, 0.922, 0.926, 0.936)
mean=0.917, std=0.017, quantiles=(0.811, 0.916, 0.922, 0.926, 0.936)
mean=0.917, std=0.018, quantiles=(0.811, 0.916, 0.921, 0.925, 0.936)
mean=0.917, std=0.017, quantiles=(0.816, 0.916, 0.921, 0.925, 0.936)
mean=0.917, std=0.017, quantiles=(0.816, 0.916, 0.921, 0.925, 0.936)
mean=0.917, std=0.017, quantiles=(0.816, 0.915, 0.921, 0.925, 0.936)
mean=0.917, std=0.017, quantiles=(0.816, 0.915, 0.921, 0.925, 0.936)
mean=0.917, std=0.017, quantiles=(0.816, 0.915, 0.921, 0.925, 0.936)
mean=0.916, std=0.018, quantiles=(0.816, 0.915, 0.921, 0.925, 0.936)
mean=0.916, std=0.017, quantiles=(0.816, 0.915, 0.921, 0.925, 0.936)
mean=0.916, std=0.017, quantiles=(0.816, 0.915, 0.921, 0.925, 0.936)
mean=0.916, std=0.017, quantiles=(0.815, 0.915, 0.921, 0.925, 0.935)
mean=0.920, std=0.018, quantiles=(0.816, 0.919, 0.925, 0.928, 0.937)
mean=0.920, std=0.018, quantiles=(0.816, 0.919, 0.924, 0.928, 0.937)
mean=0.920, std=0.018, quantiles=(0.816, 0.919, 0.924, 0.928, 0.937)
mean=0.920, std=0.018, quantiles=(0.814, 0.919, 0.924, 0.928, 0.937)
mean=0.922, std=0.018, quantiles=(0.814, 0.922, 0.927, 0.930, 0.939)
mean=0.924, std=0.018, quantiles=(0.814, 0.924, 0.929, 0.932, 0.941)
mean=0.924, std=0.018, quantiles=(0.814, 0.924, 0.929, 0.932, 0.940)
mean=0.924, std=0.018, quantiles=(0.814, 0.924, 0.929, 0.933, 0.941)
mean=0.924, std=0.019, quantiles=(0.814, 0.923, 0.929, 0.933, 0.942)
mean=0.923, std=0.019, quantiles=(0.814, 0.920, 0.929, 0.933, 0.942)
mean=0.923, std=0.019, quantiles=(0.814, 0.920, 0.930, 0.934, 0.942)
mean=0.923, std=0.019, quantiles=(0.814, 0.920, 0.930, 0.934, 0.942)
mean=0.923, std=0.019, quantiles=(0.814, 0.920, 0.930, 0.934, 0.942)
mean=0.923, std=0.019, quantiles=(0.814, 0.920, 0.930, 0.934, 0.942)
mean=0.923, std=0.019, quantiles=(0.814, 0.920, 0.930, 0.934, 0.942)
mean=0.923, std=0.019, quantiles=(0.814, 0.920, 0.929, 0.934, 0.942)
mean=0.923, std=0.019, quantiles=(0.814, 0.920, 0.929, 0.934, 0.942)
mean=0.923, std=0.019, quantiles=(0.814, 0.920, 0.929, 0.934, 0.942)
mean=0.923, std=0.019, quantiles=(0.814, 0.920, 0.929, 0.934, 0.942)
mean=0.923, std=0.019, quantiles=(0.814, 0.920, 0.929, 0.934, 0.942)
mean=0.923, std=0.018, quantiles=(0.813, 0.920, 0.929, 0.934, 0.942)
mean=0.923, std=0.018, quantiles=(0.812, 0.920, 0.929, 0.934, 0.942)
mean=0.923, std=0.018, quantiles=(0.812, 0.920, 0.929, 0.933, 0.942)
mean=0.923, std=0.018, quantiles=(0.812, 0.920, 0.929, 0.934, 0.942)
mean=0.922, std=0.019, quantiles=(0.812, 0.916, 0.929, 0.934, 0.942)
mean=0.921, std=0.019, quantiles=(0.812, 0.916, 0.927, 0.932, 0.942)
mean=0.921, std=0.019, quantiles=(0.813, 0.916, 0.927, 0.932, 0.942)
mean=0.921, std=0.019, quantiles=(0.811, 0.916, 0.927, 0.932, 0.942)
mean=0.921, std=0.019, quantiles=(0.811, 0.916, 0.927, 0.932, 0.942)
mean=0.921, std=0.019, quantiles=(0.811, 0.916, 0.927, 0.932, 0.942)
mean=0.921, std=0.019, quantiles=(0.811, 0.916, 0.927, 0.932, 0.942)
mean=0.922, std=0.019, quantiles=(0.811, 0.916, 0.928, 0.933, 0.943)
mean=0.920, std=0.022, quantiles=(0.811, 0.916, 0.929, 0.934, 0.943)
mean=0.920, std=0.023, quantiles=(0.811, 0.916, 0.929, 0.934, 0.943)
mean=0.920, std=0.022, quantiles=(0.810, 0.916, 0.929, 0.934, 0.943)
mean=0.920, std=0.023, quantiles=(0.811, 0.915, 0.929, 0.935, 0.943)
mean=0.920, std=0.022, quantiles=(0.811, 0.915, 0.929, 0.934, 0.943)
mean=0.920, std=0.022, quantiles=(0.811, 0.915, 0.929, 0.934, 0.943)
mean=0.920, std=0.022, quantiles=(0.811, 0.915, 0.929, 0.934, 0.943)
mean=0.920, std=0.022, quantiles=(0.810, 0.915, 0.929, 0.934, 0.943)
mean=0.920, std=0.022, quantiles=(0.810, 0.915, 0.929, 0.934, 0.943)
mean=0.920, std=0.022, quantiles=(0.810, 0.915, 0.929, 0.934, 0.943)
mean=0.920, std=0.023, quantiles=(0.810, 0.914, 0.929, 0.935, 0.943)
mean=0.918, std=0.024, quantiles=(0.810, 0.911, 0.928, 0.934, 0.943)
mean=0.918, std=0.024, quantiles=(0.810, 0.910, 0.927, 0.933, 0.941)
mean=0.918, std=0.023, quantiles=(0.810, 0.910, 0.927, 0.933, 0.941)
mean=0.918, std=0.023, quantiles=(0.810, 0.910, 0.927, 0.933, 0.941)
mean=0.918, std=0.023, quantiles=(0.810, 0.910, 0.927, 0.933, 0.941)
mean=0.918, std=0.023, quantiles=(0.816, 0.910, 0.927, 0.933, 0.941)
mean=0.918, std=0.023, quantiles=(0.814, 0.911, 0.927, 0.933, 0.941)
mean=0.918, std=0.023, quantiles=(0.816, 0.911, 0.927, 0.933, 0.941)
mean=0.918, std=0.023, quantiles=(0.816, 0.911, 0.927, 0.933, 0.941)
mean=0.918, std=0.023, quantiles=(0.815, 0.911, 0.927, 0.933, 0.941)
mean=0.918, std=0.023, quantiles=(0.814, 0.911, 0.927, 0.933, 0.941)
mean=0.918, std=0.023, quantiles=(0.814, 0.911, 0.927, 0.933, 0.941)
mean=0.918, std=0.023, quantiles=(0.813, 0.911, 0.927, 0.933, 0.941)
mean=0.918, std=0.023, quantiles=(0.813, 0.911, 0.927, 0.933, 0.941)
mean=0.917, std=0.023, quantiles=(0.813, 0.911, 0.927, 0.933, 0.941)
mean=0.916, std=0.023, quantiles=(0.813, 0.909, 0.925, 0.933, 0.940)
mean=0.916, std=0.024, quantiles=(0.813, 0.908, 0.925, 0.933, 0.940)
mean=0.916, std=0.024, quantiles=(0.813, 0.907, 0.924, 0.932, 0.940)
mean=0.916, std=0.024, quantiles=(0.813, 0.907, 0.924, 0.932, 0.940)
mean=0.916, std=0.023, quantiles=(0.812, 0.907, 0.924, 0.932, 0.940)
mean=0.916, std=0.023, quantiles=(0.813, 0.907, 0.924, 0.932, 0.940)
mean=0.916, std=0.023, quantiles=(0.813, 0.907, 0.924, 0.932, 0.940)
mean=0.916, std=0.023, quantiles=(0.813, 0.907, 0.924, 0.932, 0.940)
mean=0.915, std=0.024, quantiles=(0.812, 0.907, 0.924, 0.932, 0.940)
mean=0.914, std=0.023, quantiles=(0.812, 0.905, 0.922, 0.931, 0.941)
mean=0.914, std=0.023, quantiles=(0.812, 0.904, 0.921, 0.931, 0.941)
mean=0.913, std=0.024, quantiles=(0.812, 0.904, 0.921, 0.931, 0.941)
mean=0.913, std=0.024, quantiles=(0.812, 0.904, 0.922, 0.931, 0.941)
mean=0.913, std=0.024, quantiles=(0.812, 0.904, 0.922, 0.931, 0.941)
mean=0.913, std=0.024, quantiles=(0.812, 0.904, 0.921, 0.931, 0.942)
mean=0.913, std=0.024, quantiles=(0.812, 0.904, 0.921, 0.931, 0.942)
mean=0.913, std=0.024, quantiles=(0.812, 0.904, 0.921, 0.931, 0.942)
mean=0.913, std=0.024, quantiles=(0.811, 0.904, 0.921, 0.931, 0.942)
mean=0.913, std=0.024, quantiles=(0.811, 0.903, 0.921, 0.931, 0.942)
mean=0.911, std=0.025, quantiles=(0.811, 0.898, 0.919, 0.931, 0.942)
mean=0.911, std=0.025, quantiles=(0.811, 0.897, 0.918, 0.930, 0.943)
mean=0.911, std=0.025, quantiles=(0.811, 0.896, 0.918, 0.930, 0.943)
mean=0.909, std=0.025, quantiles=(0.811, 0.893, 0.916, 0.930, 0.943)
mean=0.908, std=0.025, quantiles=(0.811, 0.893, 0.916, 0.930, 0.942)
mean=0.909, std=0.025, quantiles=(0.811, 0.893, 0.916, 0.930, 0.942)
mean=0.909, std=0.025, quantiles=(0.811, 0.893, 0.916, 0.930, 0.942)
mean=0.909, std=0.025, quantiles=(0.811, 0.893, 0.916, 0.930, 0.942)
mean=0.909, std=0.025, quantiles=(0.811, 0.893, 0.916, 0.930, 0.942)
mean=0.909, std=0.025, quantiles=(0.811, 0.893, 0.915, 0.930, 0.942)
mean=0.908, std=0.025, quantiles=(0.811, 0.893, 0.915, 0.929, 0.942)
mean=0.908, std=0.025, quantiles=(0.811, 0.893, 0.914, 0.928, 0.942)
mean=0.908, std=0.025, quantiles=(0.811, 0.893, 0.914, 0.928, 0.942)
mean=0.907, std=0.025, quantiles=(0.811, 0.888, 0.913, 0.928, 0.942)
mean=0.906, std=0.025, quantiles=(0.811, 0.887, 0.912, 0.927, 0.942)
mean=0.905, std=0.025, quantiles=(0.811, 0.886, 0.911, 0.927, 0.942)
mean=0.905, std=0.025, quantiles=(0.812, 0.886, 0.911, 0.927, 0.943)
mean=0.905, std=0.026, quantiles=(0.812, 0.886, 0.911, 0.927, 0.942)
mean=0.905, std=0.026, quantiles=(0.812, 0.886, 0.911, 0.927, 0.942)
mean=0.905, std=0.026, quantiles=(0.812, 0.886, 0.911, 0.927, 0.942)
mean=0.906, std=0.026, quantiles=(0.812, 0.886, 0.912, 0.928, 0.943)
mean=0.905, std=0.026, quantiles=(0.812, 0.885, 0.912, 0.928, 0.943)
mean=0.905, std=0.026, quantiles=(0.812, 0.886, 0.911, 0.928, 0.943)
mean=0.904, std=0.026, quantiles=(0.812, 0.885, 0.910, 0.926, 0.943)
mean=0.904, std=0.026, quantiles=(0.812, 0.885, 0.910, 0.926, 0.943)
mean=0.904, std=0.026, quantiles=(0.812, 0.885, 0.910, 0.926, 0.943)
mean=0.904, std=0.026, quantiles=(0.812, 0.885, 0.909, 0.926, 0.942)
mean=0.903, std=0.026, quantiles=(0.812, 0.884, 0.908, 0.925, 0.943)
mean=0.903, std=0.026, quantiles=(0.811, 0.884, 0.908, 0.925, 0.943)
mean=0.902, std=0.026, quantiles=(0.811, 0.883, 0.905, 0.924, 0.942)
mean=0.902, std=0.026, quantiles=(0.811, 0.883, 0.905, 0.924, 0.942)
mean=0.936, std=0.011, quantiles=(0.846, 0.933, 0.939, 0.942, 0.945)
mean=0.935, std=0.011, quantiles=(0.829, 0.933, 0.939, 0.942, 0.945)
mean=0.935, std=0.011, quantiles=(0.853, 0.933, 0.939, 0.941, 0.945)
mean=0.933, std=0.013, quantiles=(0.836, 0.932, 0.938, 0.940, 0.944)
mean=0.932, std=0.013, quantiles=(0.826, 0.932, 0.937, 0.939, 0.943)
mean=0.932, std=0.013, quantiles=(0.819, 0.932, 0.936, 0.939, 0.943)
mean=0.932, std=0.013, quantiles=(0.823, 0.932, 0.936, 0.939, 0.943)
mean=0.932, std=0.013, quantiles=(0.829, 0.931, 0.936, 0.939, 0.943)
mean=0.931, std=0.013, quantiles=(0.830, 0.931, 0.936, 0.938, 0.943)
mean=0.931, std=0.013, quantiles=(0.830, 0.931, 0.935, 0.938, 0.942)
mean=0.931, std=0.013, quantiles=(0.828, 0.931, 0.935, 0.938, 0.942)
mean=0.929, std=0.014, quantiles=(0.825, 0.930, 0.934, 0.936, 0.942)
mean=0.929, std=0.014, quantiles=(0.824, 0.929, 0.934, 0.936, 0.942)
mean=0.928, std=0.014, quantiles=(0.823, 0.929, 0.933, 0.935, 0.942)
mean=0.928, std=0.014, quantiles=(0.822, 0.928, 0.932, 0.935, 0.941)
mean=0.927, std=0.015, quantiles=(0.822, 0.927, 0.932, 0.934, 0.941)
mean=0.927, std=0.015, quantiles=(0.822, 0.927, 0.931, 0.934, 0.941)
mean=0.925, std=0.016, quantiles=(0.819, 0.925, 0.930, 0.933, 0.941)
mean=0.924, std=0.017, quantiles=(0.819, 0.925, 0.929, 0.932, 0.941)
mean=0.923, std=0.017, quantiles=(0.818, 0.924, 0.929, 0.932, 0.941)
mean=0.923, std=0.017, quantiles=(0.816, 0.924, 0.929, 0.932, 0.941)
mean=0.923, std=0.017, quantiles=(0.818, 0.924, 0.929, 0.932, 0.941)
mean=0.923, std=0.017, quantiles=(0.818, 0.923, 0.928, 0.931, 0.940)
mean=0.922, std=0.018, quantiles=(0.818, 0.923, 0.928, 0.931, 0.940)
mean=0.922, std=0.017, quantiles=(0.817, 0.923, 0.928, 0.931, 0.940)
mean=0.922, std=0.018, quantiles=(0.815, 0.923, 0.928, 0.931, 0.940)
mean=0.922, std=0.017, quantiles=(0.813, 0.923, 0.928, 0.931, 0.940)
mean=0.922, std=0.017, quantiles=(0.817, 0.923, 0.928, 0.931, 0.940)
mean=0.922, std=0.017, quantiles=(0.817, 0.923, 0.928, 0.931, 0.940)
mean=0.922, std=0.017, quantiles=(0.817, 0.923, 0.927, 0.931, 0.940)
mean=0.921, std=0.018, quantiles=(0.817, 0.922, 0.927, 0.930, 0.939)
mean=0.921, std=0.018, quantiles=(0.816, 0.922, 0.927, 0.930, 0.939)
mean=0.921, std=0.018, quantiles=(0.816, 0.921, 0.926, 0.930, 0.939)
mean=0.920, std=0.018, quantiles=(0.814, 0.920, 0.925, 0.929, 0.938)
mean=0.920, std=0.018, quantiles=(0.813, 0.920, 0.925, 0.929, 0.938)
mean=0.920, std=0.018, quantiles=(0.812, 0.920, 0.925, 0.929, 0.938)
mean=0.919, std=0.019, quantiles=(0.812, 0.919, 0.924, 0.928, 0.938)
mean=0.919, std=0.019, quantiles=(0.812, 0.919, 0.924, 0.928, 0.938)
